Name,Frequency,Avg_Popularity,Avg_Revenue
Karen Fukuhara,1,90.23792,745000000.0
Valerie Berry,1,70.78591,738599701.0
Don Battee,1,70.78591,738599701.0
Jeremy Leary,1,92.201962,735099082.0
Jerome Ranft,1,92.201962,735099082.0
Elie Docter,1,92.201962,735099082.0
Jordan Nagai,1,92.201962,735099082.0
Jennifer Saunders,3,324.6827176666667,733722039.3333334
Stephen J. Anderson,2,108.11954150000001,721773348.0
Chris Williams,2,103.1407915,720970659.5
Anthony Daniels,6,65.5918915,718368982.1666666
Basher Savage,1,110.153618,716392705.0
Orto Ignatiussen,1,110.153618,716392705.0
Phaldut Sharma,1,110.153618,716392705.0
Amy Warren,1,110.153618,716392705.0
Mark Ryan,1,25.468493,709709780.0
Nicola Peltz,2,75.304816,704954010.0
Samuli Edelmann,1,77.77477,694713380.0
Ivan Shvedoff,1,77.77477,694713380.0
Miraj Grbic,1,77.77477,694713380.0
Ron Dean,2,121.103612,686717102.0
Jens Hultén,1,114.522237,682330139.0
Afemo Omilami,1,138.133331,677945399.0
Michael Conner Humphreys,1,138.133331,677945399.0
Rupert Grint,8,77.35024737500001,676814325.0
Timothée Chalamet,1,724.247784,675120017.0
Angelica Page,1,73.085576,672806292.0
Aidan Turner,3,86.95011266666667,668328403.0
Jadin Gould,1,99.398009,662845518.0
Jay Leno,1,85.115058,660940780.0
Peter Ackerman,1,85.115058,660940780.0
Ken Stott,3,77.32182666666667,657936407.0
Scott Adsit,1,203.73459,652105443.0
Ryan Potter,1,203.73459,652105443.0
Bob Peterson,2,99.5087535,648957669.0
Conrad Vernon,2,65.84389250000001,646695426.0
William Kircher,3,72.01422066666667,638139929.3333334
Sarah Vowell,1,77.817571,631442092.0
Maeve Andrews,1,77.817571,631442092.0
Eli Fucile,1,77.817571,631442092.0
Spencer Fox,1,77.817571,631442092.0
Dominique Louis,1,77.817571,631442092.0
Mark Hamill,3,83.80686533333333,628832669.0
David Prowse,3,83.80686533333333,628832669.0
John Ratzenberger,6,78.76986666666666,626186300.5
Don Omar,1,7.255718,626137675.0
Tego Calderón,1,7.255718,626137675.0
Rosemary Harris,4,59.66679475,624086629.5
David Mattey,1,56.758411,624029371.0
Nicole Scherzinger,1,52.035179,624026776.0
Julius Callahan,1,65.677399,623722818.0
Lou Romano,1,65.677399,623722818.0
Kenny Baker,7,60.546059285714286,619460679.5714285
Maia Morgenstern,1,38.171417,611899420.0
Christo Jivkov,1,38.171417,611899420.0
Toni Bertorelli,1,38.171417,611899420.0
Francesco De Vito,1,38.171417,611899420.0
Francesco Cabras,1,38.171417,611899420.0
Rosalinda Celentano,1,38.171417,611899420.0
Rachel McDowall,1,30.780599,609841637.0
Ashley Lilley,1,30.780599,609841637.0
Ayaan Khan,1,51.328145,609016565.0
Mohd Abbas Khaleeli,1,51.328145,609016565.0
