Name,Department,Frequency,Avg_Popularity,Avg_Revenue
Pam Dixon,Production,19,16.27995652631579,67928216.84210527
Laura Rosenthal,Production,19,17.860135789473684,42024863.05263158
Chris Jenkins,Sound,19,44.183084578947366,158384078.31578946
Ivan Reitman,Production,19,22.90029089473684,109493129.84210527
Lauren Shuler Donner,Production,19,50.195734473684205,263533227.42105263
Merrick Morton,Camera,19,52.24700273684211,166469928.52631578
Chris O'Connell,Crew,19,87.13441842105263,589793624.6842105
Larry McConkey,Camera,19,47.28060673684211,164508997.68421054
David Orr,Editing,19,55.386815684210525,244922250.68421054
Steven Rosenblum,Editing,19,30.221020736842103,162959333.0
Victoria Burrows,Production,19,64.7427522631579,444074241.3684211
Hector C. Gika,Sound,18,36.13091555555556,150225279.8888889
Deirdre Bowen,Production,18,19.685872333333336,40156502.222222224
Alex Rouse,Costume & Make-Up,18,81.29919177777778,342477314.2777778
Richard L. Johnson,Art,18,44.55368088888889,317813513.0555556
Kathy Nelson,Sound,18,36.76838472222222,157085546.6111111
Colin Anderson,Camera,18,29.158373,153321793.2222222
Dawn Lunsford,Sound,18,50.47956027777778,234004045.55555555
Leslie A. Pope,Art,18,45.414668666666664,254817239.33333334
Bill Pope,Camera,18,43.71835033333333,287648288.6111111
Shay Cunliffe,Costume & Make-Up,18,29.04471911111111,130766524.44444445
Chris Bender,Production,18,38.815322,143583011.8888889
Robert Jackson,Sound,18,72.76436700000001,327181219.2777778
Erwin Stoff,Production,18,36.72419138888889,163403513.5
Bub Asman,Sound,18,36.25375083333333,132515183.55555555
John Seale,Camera,18,55.95124855555556,246409802.44444445
François Duhamel,Camera,18,42.21377161111111,174990101.8888889
Peter Menzies Jr.,Camera,18,26.00514038888889,107511566.44444445
Jon Kilik,Production,18,39.823906388888894,198785120.6111111
Mary Selway,Production,18,35.46134383333333,193599863.0
Shannon Mills,Sound,18,99.93076944444445,647528461.3333334
Avi Arad,Production,18,61.28233583333334,462793274.8888889
Chris Haarhoff,Camera,18,77.57962261111112,278535214.7777778
Richard Brener,Production,18,35.06493144444445,130291324.3888889
Gary Summers,Sound,18,52.14104883333333,439626492.5
David Koepp,Writing,18,36.50490161111111,279157503.7777778
Darius Khondji,Camera,18,23.961006055555554,84601959.3888889
David Brenner,Editing,18,49.43862716666667,336177508.0
Gregg Rudloff,Sound,18,40.13043044444444,166163160.2222222
Thomas A. Carlson,Sound,18,35.766538499999996,225484921.05555555
Christopher Lennertz,Sound,18,26.794898000000003,109861693.6111111
William B. Kaplan,Sound,18,65.28946411111112,254049986.8888889
Phedon Papamichael,Camera,18,34.395819055555556,124191573.33333333
Susie Figgis,Production,18,29.832052055555558,166722935.83333334
Goro Koyama,Sound,18,33.7353665,91733491.0
David Luckenbach,Camera,18,62.77149844444445,292771973.0555556
Elmer Bernstein,Sound,18,19.644744333333332,52484425.222222224
Sean Daniel,Production,18,20.634290888888888,95589005.3888889
Matthew F. Leonetti,Camera,18,29.179747555555554,107946081.0
Tessa Ross,Production,18,34.94724444444444,61519897.11111111
Allison Jones,Production,18,26.976522777777777,101688951.33333333
David Tattersall,Camera,18,33.85325244444444,246688253.44444445
Tom Stern,Camera,18,29.551887555555556,143058506.8888889
Wyck Godfrey,Production,18,59.2569635,271662797.5
Klaus Badelt,Sound,18,32.67847622222222,74910267.55555555
Venus Kanani,Production,18,35.65694011111111,63358127.55555555
Dennie Thorpe,Sound,18,100.03870983333334,452149942.2777778
John Lasseter,Production,18,87.60276672222223,616155436.7222222
Sean Button,Crew,18,70.69858794444445,481248767.3888889
Anna Behlmer,Sound,18,43.99681588888889,254207487.5
David V. Butler,Editing,18,46.78824888888889,233364863.1111111
Jeff Carson,Sound,18,36.790443,131878133.83333333
Richard Foreman Jr.,Camera,18,35.965625555555555,95462098.33333333
George S. Clinton,Sound,18,15.250027722222221,74306591.5
Denise Di Novi,Production,18,25.00415,61172866.61111111
Newton Thomas Sigel,Camera,18,41.008071388888894,186194143.94444445
Dylan Goss,Camera,17,70.05947088235294,287391544.1764706
Ann Roth,Costume & Make-Up,17,22.195457235294118,109145068.70588236
Chris Columbus,Production,17,56.75736964705882,262090866.70588234
Brian Helgeland,Writing,17,25.646023411764705,100558833.1764706
Ai-Ling Lee,Sound,17,95.03263747058824,329724901.2352941
Roy Lee,Production,17,37.329800705882356,167443326.88235295
Marc Shaiman,Sound,17,18.212486,80955739.8235294
Ray McIntyre Jr.,Visual Effects,17,30.611042235294114,146650525.0
Wilma Garscadden-Gahret,Directing,17,26.268122058823533,125257735.41176471
Mark Helfrich,Editing,17,25.78734888235294,136915309.88235295
Lon Bender,Sound,17,47.06437994117647,195632184.4117647
Barbara Harris,Production,17,50.156796588235295,166784454.6470588
Justin Hammond,Lighting,17,51.169629941176474,310823331.64705884
Ben Waisbren,Production,17,60.82823576470588,132547898.1764706
Guillermo Navarro,Camera,17,48.05960435294118,201933482.88235295
Jeffrey Kurland,Costume & Make-Up,17,32.83681164705882,120444837.41176471
Manish Raval,Sound,17,40.17328958823529,126246062.52941176
Laura Harris Atkinson,Editing,17,31.71448652941176,156736443.05882353
Deborah Lynn Scott,Costume & Make-Up,17,47.96533517647059,574366725.4705882
Christopher Scarabosio,Sound,17,48.13120376470588,281472900.11764705
Paul Hirsch,Editing,17,32.80181717647059,168704062.29411766
Phil Pastuhov,Camera,17,52.04307870588235,180833439.17647058
Daryn Okada,Camera,17,17.530489000000003,74133681.8235294
Wendy M. Craig,Costume & Make-Up,17,49.094368882352946,214274604.11764705
Jann Engel,Art,17,48.481251647058826,302686589.5882353
Joe Hutshing,Editing,17,25.76264717647059,133012015.76470588
Brad Pitt,Production,17,46.75777894117647,125312447.05882353
Craig Berkey,Sound,17,64.08711429411765,249093767.3529412
Tim Gomillion,Crew,17,83.39832429411766,270280461.1764706
Francis Ford Coppola,Production,17,29.001526352941173,59750821.47058824
James Moriana,Sound,17,43.04896635294118,128073837.52941176
Steve Mirkovich,Editing,17,19.80507794117647,87195302.58823529
James Muro,Camera,17,25.651238411764705,168307047.4117647
Steve Jablonsky,Sound,17,36.21453523529412,309888491.5294118
John Frizzell,Sound,17,16.53772111764706,46379800.4117647
Marc Platt,Production,17,28.555103470588236,83063488.94117647
Hugo Weng,Editing,17,93.02227447058823,310644598.2941176
Sam Mercer,Production,17,32.82636035294118,231415718.6470588
Terence Blanchard,Sound,17,11.399862411764706,31771526.352941178
Don Zimmerman,Editing,17,24.376069294117645,173038628.52941176
Paul Rubell,Editing,17,47.268779823529414,336692136.0
Michael Barnathan,Production,17,53.24435847058823,296806657.2941176
Ana Maria Quintana,Directing,17,66.56544776470588,434943618.1764706
Gregory Lundsgaard,Camera,17,32.80658970588235,201970657.4117647
Robert Zemeckis,Production,17,30.691859529411765,144210198.7647059
Benjamín Fernández,Art,17,35.28851311764706,114369843.76470588
Nathan Kahane,Production,17,29.600410470588233,99100063.76470588
Denny Caira,Crew,17,103.321948,539735591.7058823
Jack Stew,Sound,17,48.60411129411765,171397681.52941176
Karen Golden,Directing,17,38.628762882352945,333153548.0
David Eggby,Camera,17,18.05258111764706,63408486.823529415
Tom Fleischman,Sound,17,39.926812,148182044.05882353
Terry Claborn,Editing,17,53.96414523529411,457708684.8235294
Tom Ozanich,Sound,17,43.139460882352935,123591069.94117647
David Gale,Production,17,10.799302176470588,36637858.0
Peter Teschner,Editing,17,24.18545694117647,116197850.64705883
Andrew Dunn,Camera,17,18.31621258823529,94752917.70588236
Clint Mansell,Sound,17,28.99429988235294,69147261.0
Eva Z. Cabrera,Directing,17,42.01500823529412,133714258.8235294
Adam Dale,Camera,17,47.02890611764706,250518578.2352941
Howard Feuer,Production,17,25.66618017647059,115276896.23529412
Nick Wechsler,Production,17,21.44100517647059,43277542.76470588
William Hoy,Editing,17,55.89708470588236,224239989.82352942
Robert Rodriguez,Directing,17,29.311505647058823,65541151.823529415
Lawrence Bender,Production,17,40.709512,87578795.64705883
John Wright,Editing,17,27.646864470588234,166765044.17647058
Barry Bernardi,Production,17,31.537054882352937,126994320.41176471
Caleb Deschanel,Camera,16,24.56697425,129291748.625
Kenneth Karman,Sound,16,62.036632187500004,288560534.0
Stephen Hunter Flick,Sound,16,41.81758825,146094026.4375
Jay Wilkinson,Sound,16,39.920082125,152910975.1875
Brad Sherman,Sound,16,33.572884125,108708106.5625
David Emmerichs,Camera,16,56.770384,395867617.4375
David F. Klassen,Art,16,88.9329295,324590795.5
Richard Hymns,Sound,16,45.1504865,263607940.25
Robert Rodriguez,Editing,16,30.2192201875,64289704.4375
Kym Barrett,Costume & Make-Up,16,49.3421911875,249150910.9375
Nancy Young,Crew,16,19.8761739375,70002330.8125
Jasin Boland,Camera,16,79.04425775,306430381.125
George Clooney,Production,16,22.463161875,68468638.75
Jess Gonchor,Art,16,33.7428021875,101739639.4375
Broderick Johnson,Production,16,27.2742463125,94352392.1875
Bruce Green,Editing,16,17.623399875,102207954.375
Albert Wolsky,Costume & Make-Up,16,26.8981970625,129247736.0625
Robert Gould,Art,16,36.440270375,182710059.0625
Anna Rane,Directing,16,42.5821534375,144085202.875
Anna Pinnock,Art,16,53.018284,349069333.4375
Mike Stenson,Production,16,68.773318125,367433442.5625
Gregg Barbanell,Sound,16,38.3880441875,165330156.0625
Kimaree Long,Editing,16,34.681094375,156072957.0625
Santo Loquasto,Art,16,11.4535263125,20450696.25
Daniel P. Hanley,Editing,16,33.298224437500004,184087438.375
Gary Rizzo,Sound,16,100.0979473125,350593506.6875
Lindy Hemming,Costume & Make-Up,16,60.465627437500004,357985181.9375
Akiva Goldsman,Writing,16,49.4967016875,282990885.875
Mark Radcliffe,Production,16,55.909883,291164032.9375
Greg Berry,Art,16,79.4324648125,272629494.1875
Cosmas Paul Bolger Jr.,Visual Effects,16,25.048687875,89939318.5625
Mike Prestwood Smith,Sound,16,38.8018425,166032381.0
Dante Spinotti,Camera,16,25.217621,132590016.3125
Suzana Peric,Sound,16,23.1771165625,63848484.4375
Thomas E. Ackerman,Camera,16,18.3426703125,61425272.875
Henning Molfenter,Production,16,56.804721625,234162399.375
Gene Serdena,Art,16,31.1570103125,75516523.0
David Hoberman,Production,16,27.6165290625,94075665.625
Daniel R. Chavez,Production,16,25.436691,123575779.5625
Anna B. Sheppard,Costume & Make-Up,16,51.107521187500005,193644079.375
Daniel Lupi,Production,16,35.1346871875,101846003.75
Jason King,Sound,16,35.217262875,123162200.5625
Lora Kennedy,Production,16,44.9830048125,176995678.9375
Nancy Foy,Production,16,18.905815875000002,104958234.25
Thomas Milano,Sound,16,26.12200925,67836547.5
Graham King,Production,16,40.4616465,181895925.5625
Kerry Lyn McKissick,Directing,16,41.927322625,232786084.0625
Jack Green,Camera,16,22.15134175,107432685.9375
Aaron Williams,Visual Effects,16,65.268197625,502330252.6875
Roger Barton,Editing,16,52.9491229375,428056792.5625
Jeff Dawn,Costume & Make-Up,16,40.205736875,200486003.6875
Thelma Schoonmaker,Editing,16,37.4101043125,122472286.375
John Houlihan,Sound,16,67.4488723125,134484046.0
J. Michael Riva,Art,16,43.023576750000004,277280835.0625
Albert R. Broccoli,Production,16,31.6185466875,140740287.125
Mary McLaglen,Production,16,27.4821253125,125255035.3125
Richard D. Zanuck,Production,16,38.6967640625,261624088.6875
Sydney Pollack,Production,16,15.702555625,99227252.5
Rachel Portman,Sound,16,15.607390562500001,37749359.6875
Alan Robert Murray,Sound,16,38.20518675,157639139.5
Scott Sanders,Sound,16,22.072671875,115580598.1875
Jeremy Braben,Camera,16,64.9995641875,358850358.6875
William Goldenberg,Editing,16,42.109634,245906443.375
Mark Bennett,Production,16,28.0192805,59088254.3125
Andrew DeCristofaro,Sound,16,29.7595879375,80841355.3125
Julio Macat,Camera,16,27.832283750000002,131167800.75
Eric McLeod,Production,16,48.6669070625,285819742.625
Steve Golin,Production,16,32.0979945625,88355092.375
Ridley Scott,Directing,16,57.5580511875,199347374.8125
James J. Murakami,Art,16,32.519831625,138508060.6875
Dianne Dreyer,Directing,16,27.5433795625,176142982.8125
Jim Clay,Art,16,19.7405670625,59121108.0
Elliot Goldenthal,Sound,16,25.06108075,104402172.3125
Richard Beggs,Sound,16,32.390928,120755026.3125
Ron Howard,Production,16,27.155692000000002,149087137.9375
Paul N.J. Ottosson,Sound,16,49.0341071875,329983913.5
Bob Badami,Sound,16,65.9190100625,342839727.375
Dan Hegeman,Sound,16,44.93400825,199652602.0625
Chris Cornwell,Art,16,19.5359905625,70605325.875
Spike Lee,Directing,16,10.4532451875,21288673.1875
Lawrence Gordon,Production,16,39.0805150625,122950464.4375
Stan Lee,Writing,16,88.9441345,702070851.4375
Dan Webster,Art,16,43.20206475,209107320.9375
Dana Goldberg,Production,16,65.546727875,363485024.0
Rick Carter,Art,16,46.764531875,463187121.0
Adam Milo Smalley,Sound,16,41.166608,226284211.9375
Anastas N. Michos,Camera,16,14.495622000000001,25365286.1875
Susan Downey,Production,16,36.4985823125,157365482.375
Stuart Craig,Art,16,50.85471125,409620563.9375
Jana Vance,Sound,16,100.45712575,455602077.0625
Stuart Dryburgh,Camera,16,22.175533875,103228755.25
Richard Francis-Bruce,Editing,16,56.2765511875,232881996.1875
Paula Fairfield,Sound,16,41.344407374999996,124736795.3125
Billy Weber,Editing,16,24.825251875,123691387.625
Russell Carpenter,Camera,16,35.748286375,261475550.4375
Jeffrey L. Kimball,Camera,16,27.777994624999998,151211626.625
Irwin Winkler,Production,16,29.107952875,61183756.125
Kay Georgiou,Costume & Make-Up,16,42.326795875,273509490.875
Peter Tothpal,Costume & Make-Up,16,61.6441900625,243589327.8125
Marci Liroff,Production,15,35.367533333333334,149523297.73333332
Robert Rodriguez,Production,15,29.650298466666666,67199240.53333333
John Toll,Camera,15,34.97433506666666,218055627.46666667
Larry Dias,Art,15,78.42305066666667,395000263.53333336
Tyler Bates,Sound,15,59.915486800000004,132944436.26666667
Michael Kaplan,Costume & Make-Up,15,56.8692538,294334939.4
Mark A. Mangini,Sound,15,48.69084146666667,233808276.6
Lora Hirschberg,Sound,15,87.07702853333333,400127775.6666667
Steven J. Winslow,Camera,15,31.5237572,213248518.13333333
Dino De Laurentiis,Production,15,16.115297133333332,53125177.6
Mary Claire Hannan,Costume & Make-Up,15,39.698282533333334,85791288.86666666
Pete Cavaciuti,Camera,15,48.89080906666666,261066180.86666667
Mark Canton,Production,15,23.748204133333335,84178574.0
Chuck Duke,Visual Effects,15,48.819115200000006,266630466.66666666
Stacey Butterworth,Costume & Make-Up,15,40.642115,135422415.06666666
Dawn Swiderski,Art,15,67.66521373333333,317600426.6666667
Jon Taylor,Sound,15,39.65465353333333,241279088.93333334
Kevin Kavanaugh,Art,15,53.099763,320281092.73333335
Larry White,Visual Effects,15,41.94741993333333,342270372.4
Scott Eddo,Costume & Make-Up,15,43.1999946,129343330.06666666
Lori McCoy-Bell,Costume & Make-Up,15,35.52413893333333,108315576.46666667
Suzanne Todd,Production,15,29.40491593333333,164636633.4
Randall Emmett,Production,15,29.337999,78878338.4
Jayne-Ann Tenggren,Directing,15,36.87405946666667,223580166.06666666
P. Scott Sakamoto,Camera,15,95.85097806666667,266449191.73333332
Gloria Gresham,Costume & Make-Up,15,17.5438434,97584428.86666666
Ruth Lambert,Production,15,47.957862666666664,177324824.2
Zach Staenberg,Editing,15,36.71739853333334,150717706.4
Willie D. Burton,Sound,15,45.312639399999995,130352900.06666666
Peter Honess,Editing,15,29.364572733333333,155483175.86666667
George Lucas,Writing,15,59.71350266666666,541752249.0666667
Michael Queen,Crew,15,56.64961013333333,336108649.46666664
Alan D'Angerio,Costume & Make-Up,15,38.15341273333333,111866386.06666666
Ann Scibelli,Sound,15,46.57613573333333,350652397.3333333
Gwendolyn Yates Whittle,Sound,15,90.7079102,523981779.0
Basil Iwanyk,Production,15,37.807157933333336,130502227.93333334
Kathrine Gordon,Costume & Make-Up,15,40.64711233333333,194060122.2
Leesa Evans,Costume & Make-Up,15,31.279524466666665,137644979.0
Matthew Libatique,Camera,15,43.39780366666666,182071857.73333332
Kathy Driscoll,Production,15,48.58388406666666,198227657.4
Robert D. Yeoman,Camera,15,28.028660866666666,97242528.6
Carol Kiefer,Art,15,37.75643126666667,209815275.26666668
Andrew A. Kosove,Production,15,28.555322133333334,94391050.2
Shawn Murphy,Sound,15,40.761492266666664,316711405.8
David Giammarco,Sound,15,36.22705893333333,193562595.13333333
John Logan,Writing,15,46.1188694,325477518.06666666
Patrick M. Sullivan Jr.,Art,15,33.3448626,163597656.13333333
Lucy Bevan,Production,15,45.061319133333335,205128659.53333333
Louise Mingenbach,Costume & Make-Up,15,47.356731933333336,255514815.0
Louise Rosner-Meyer,Production,15,32.772923866666666,240483787.13333333
Cindy Carr,Art,15,32.0170212,118018377.46666667
Sidney Kimmel,Production,15,23.535419533333332,32497635.266666666
Michael Herbick,Sound,15,26.480846866666663,102263600.46666667
Peter Chiang,Visual Effects,15,35.55886833333333,153091412.33333334
Derek Vanderhorst,Sound,15,42.5843626,162174205.4
Victor J. Zolfo,Art,15,51.98781326666666,362838402.73333335
William R. Dean,Sound,15,45.22778866666667,158256903.8
Tom Myers,Sound,15,56.03262326666666,433617172.1333333
Renny Harlin,Directing,15,17.3961144,68766706.0
Robert Simonds,Production,15,21.308874,83943243.2
Mace Neufeld,Production,15,25.71095066666667,124500472.66666667
Stephen Goldblatt,Camera,15,25.766292,130229534.93333334
Nathan Crowley,Art,15,103.74362513333334,326506191.1333333
Michael Wilkinson,Costume & Make-Up,15,58.36442793333333,321490473.93333334
Kate Dowd,Production,15,70.1022662,164833996.33333334
James Ashwill,Sound,15,52.29362673333333,245581602.33333334
Carol Spier,Art,15,30.254406333333336,76843374.06666666
Wendy Partridge,Costume & Make-Up,15,35.5768106,114988473.26666667
Susan Dawes,Editing,15,69.40020679999999,283696948.53333336
Marc Abraham,Production,15,28.15864766666667,103536036.8
Andrew Neskoromny,Art,15,28.311997799999997,180769334.06666666
David C. Hughes,Sound,15,61.6408074,260962380.33333334
David Brown,Production,15,24.720864600000002,139099853.2
Joy Zapata,Costume & Make-Up,15,45.985538,203825301.86666667
Tim Monich,Crew,15,51.570011066666666,235466283.4
Danny DeVito,Production,15,30.805155733333333,78382562.66666667
Chris L. Spellman,Art,15,41.642300999999996,148482340.8
David Lazan,Art,15,44.45701173333334,141041788.13333333
Jane Rosenthal,Production,15,19.202108133333333,127990809.73333333
Dario Marianelli,Sound,15,34.71347633333333,93810491.66666667
James Baxter,Visual Effects,15,51.292787133333334,412190744.93333334
Marc Fishman,Sound,15,38.937605999999995,105111776.8
Kenneth Wannberg,Sound,15,42.33847326666667,343445975.4
Robert Greenhut,Production,15,18.824499333333335,36626829.6
Allen Hall,Crew,15,40.88696446666667,209533927.13333333
Tim Suhrstedt,Camera,15,22.42819186666667,46132398.333333336
Mitch Dubin,Camera,15,61.27563753333333,335453843.3333333
Odin Benitez,Sound,15,38.16300553333333,146337938.06666666
Steven Soderbergh,Directing,15,29.694696599999997,140990962.86666667
Sanja Milkovic Hays,Costume & Make-Up,15,38.006313266666666,295908839.73333335
Craig Armstrong,Sound,15,33.03408733333334,137958526.6
Randy Newman,Sound,15,62.79384386666666,441183473.1333333
Penny Rose,Costume & Make-Up,15,59.8482252,281825552.6
Richard Pearson,Editing,15,40.1125412,200805912.2
David Appleby,Camera,15,38.6777148,161575581.26666668
Peter McCaffrey,Camera,15,66.08292293333334,241431152.93333334
Robert Leighton,Editing,14,27.507906785714287,91401954.42857143
Alex Gibson,Sound,14,100.69490992857143,272526042.21428573
David S. Goyer,Writing,14,78.82026257142857,407296188.28571427
Don Davis,Sound,14,32.271637642857144,207889137.64285713
Joe Medjuck,Production,14,25.021124357142856,114173748.64285715
Luke Freeborn,Art,14,56.58732928571429,240869290.5
Tucker Tooley,Production,14,32.457400428571425,85040798.0
Jeremy Stewart,Visual Effects,14,73.62600557142856,309803550.64285713
Ronald R. Reiss,Art,14,66.51360471428572,348514692.28571427
David E. Fluhr,Sound,14,40.42834592857143,200512863.85714287
Jeffrey Ford,Editing,14,60.85727621428571,492176606.5714286
Terry Rossio,Writing,14,104.89227207142858,532165384.4285714
Robert Mark Kamen,Writing,14,46.02241828571429,149778663.57142857
Scott Millan,Sound,14,63.09875364285714,262952507.5
Elizabeth Avellan,Production,14,28.16412635714286,84263692.64285715
John Thompson,Production,14,34.69276785714286,87423426.85714285
Priscilla Elliott,Art,14,39.426579714285715,158755556.2857143
Tim Burton,Directing,14,47.007483071428574,238387017.2142857
Mark Huffam,Production,14,48.752444857142855,238128883.57142857
Roland N. Thai,Sound,14,48.41380357142857,128318721.57142857
Beatrix Aruna Pasztor,Costume & Make-Up,14,17.909836000000002,36777979.21428572
Sean Garnhart,Sound,14,43.24907707142857,152848844.7857143
Edward R. Pressman,Production,14,21.384845071428572,44580800.071428575
Karl Walter Lindenlaub,Camera,14,19.958646285714284,149496972.7857143
Daniel T. Dorrance,Art,14,47.47948514285714,200164844.0
Stephen E. Rivkin,Editing,14,65.75127292857142,436377918.78571427
Steve Richards,Production,14,26.41232828571429,62736276.14285714
Mel Metcalfe,Sound,14,46.05075571428572,215463723.64285713
Scott Kroopf,Production,14,16.826680785714284,87688346.28571428
Michael Chapman,Camera,14,22.6241875,93293651.14285715
James Dyer,Production,14,19.746974357142857,91727949.35714285
Alec Hammond,Art,14,44.407542285714285,124335703.21428572
Lee Dichter,Sound,14,28.37936314285714,121759258.07142857
Matsune Suzuki,Visual Effects,14,40.92099578571429,359309329.28571427
David Rosenbloom,Editing,14,23.502248714285713,74783193.0
William Steinkamp,Editing,14,15.336348142857144,90182754.21428572
John M. Dwyer,Art,14,28.377842714285716,142553757.0
Karen Vassar Triest,Sound,14,42.16283685714286,105635270.21428572
Michael Ballhaus,Camera,14,29.38753692857143,126531236.64285715
Stewart Whelan,Camera,14,27.63031714285714,113616790.28571428
David Esparza,Sound,14,37.746938928571424,112386136.0
Nicholas Tripodi,Visual Effects,14,60.68280428571428,181419900.92857143
Ted Elliott,Writing,14,104.89227207142858,532165384.4285714
Ruth Myers,Costume & Make-Up,14,22.68950135714286,91522622.5
Will Arnot,Camera,14,56.824510357142856,176145072.14285713
Doug Coleman,Crew,14,39.593535714285714,269335919.64285713
Ellen Lutter,Costume & Make-Up,14,26.385303071428574,122816376.21428572
Richard Adrian,Sound,14,29.129233714285714,138551747.42857143
Ren Klyce,Sound,14,90.13326364285714,281712448.4285714
Richard F. Mays,Art,14,32.009464785714286,331097646.21428573
Mike Medavoy,Production,14,27.808681642857145,96950554.64285715
Fiona Weir,Production,14,48.418572999999995,281583500.64285713
Andrew Lesnie,Camera,14,75.89613307142858,564470690.9285715
Jason Swanscott,Sound,14,56.14827435714285,236675065.2857143
Hunt Lowry,Production,14,21.978027928571432,46433131.78571428
Ida Random,Art,14,18.489513714285714,75369056.42857143
Andy Kaplan,Editing,14,52.18974264285714,181995027.64285713
Philip Messina,Art,14,61.41574378571428,389572053.78571427
Debra Hayward,Production,14,22.971944428571426,83104543.21428572
Alan Menken,Sound,14,45.783641714285714,286557861.85714287
Robert Q. Mathews,Costume & Make-Up,14,48.7033995,188626836.0
Tim Walston,Sound,14,37.76198014285715,108043993.57142857
Thomas E. Sanders,Art,14,40.84036878571429,204774854.92857143
Oliver Stone,Writing,14,25.009235071428574,78274787.42857143
Jeff Atmajian,Sound,14,47.609179857142855,289685897.9285714
Arthur Schmidt,Editing,14,58.53599628571429,256186816.0
Tony Lamberti,Sound,14,39.51877292857143,193434833.42857143
Joanna Colbert,Production,14,26.14121857142857,88844782.5
Stuart Cornfeld,Production,14,29.418690071428575,88439512.14285715
Ethan Coen,Writing,14,34.01301857142857,91609307.14285715
Quentin Tarantino,Writing,14,60.86960885714286,135871094.42857143
Lloyd Levin,Production,14,39.26097514285714,122771595.0
Oliver Stone,Directing,14,21.628577214285713,91289186.78571428
Seamus McGarvey,Camera,14,37.86666228571429,224414968.57142857
Andrew Menzies,Art,14,52.20462164285714,409956225.0714286
David C. Robinson,Costume & Make-Up,14,29.34671907142857,52234637.5
Greg Orloff,Sound,14,34.88251664285714,114872655.85714285
Dean Wolcott,Art,14,117.49217171428572,459375235.9285714
Bob Yari,Production,14,12.279873071428572,28387565.42857143
William Arnold,Art,14,24.715137714285714,59002437.35714286
Trevor Jones,Sound,14,22.909687785714286,95484817.92857143
Sheila Waldron,Directing,14,31.01044557142857,164452524.07142857
Joel Coen,Writing,14,34.01301857142857,91609307.14285715
Elie Samaha,Production,14,11.692208357142857,22413362.42857143
Henry Bumstead,Art,14,21.93513607142857,78592335.85714285
Christian Wagner,Editing,14,37.197379142857145,279361770.5714286
Bill Pankow,Editing,14,18.30324692857143,41636744.35714286
Jon Billington,Art,14,41.3749305,221771648.42857143
Will Files,Sound,14,122.73538328571429,301682551.4285714
Justine Baddeley,Production,14,26.830084571428575,91332375.64285715
Daniel Hubbard,Production,14,35.6060965,179486245.7142857
Kelly Oxford,Sound,14,32.59461642857143,158908429.5
William Fay,Production,14,31.927135571428572,158200648.14285713
Joe Roth,Production,14,37.26606628571428,231216797.7857143
David James,Camera,14,67.50353128571429,326606767.0714286
Javier Aguirresarobe,Camera,14,38.38084385714286,159070053.92857143
Theo van de Sande,Camera,14,23.380306428571426,86418481.71428572
James D. Bissell,Art,14,35.09167142857143,224434096.85714287
Wes Craven,Writing,14,18.5827295,41306759.928571425
Rupert Gregson-Williams,Sound,14,30.279700428571427,138405401.64285713
Fríða Aradóttir,Costume & Make-Up,14,36.92853478571429,121026477.64285715
Joseph Drake,Production,14,34.66975757142857,142283029.57142857
Kathleen Chopin,Production,14,32.6063355,166568851.07142857
Eugene Gearty,Sound,14,49.37292421428572,198315345.64285713
