Name,Department,Frequency,Avg_Popularity,Avg_Revenue
Don Carmody,Production,19,21.377454894736843,85512352.15789473
Ruth E. Carter,Costume & Make-Up,19,13.742849631578949,52826302.10526316
Stephen S. Campanelli,Camera,19,48.340488842105266,194057264.63157895
Joseph M. Caracciolo Jr.,Production,19,30.53940547368421,208294236.9473684
Chad Oman,Production,19,64.38494457894737,346214858.7368421
Stephen King,Writing,19,37.367287052631575,56838421.21052632
Gregory Nicotero,Crew,19,31.319248894736845,106081874.5263158
Phil Tippett,Visual Effects,19,67.01474568421052,399913461.1052632
Alyson Dee Moore,Sound,19,98.3628542631579,284073647.7368421
Clint Eastwood,Production,19,27.570006,125850592.26315789
Dave Jordan,Sound,19,68.26710694736842,252055101.57894737
Jason W. Jennings,Sound,19,49.22761852631579,252960115.7368421
Philippe Rousselot,Camera,19,28.257223789473684,140974235.78947368
John Bailey,Camera,19,14.447830999999999,45681975.578947365
John T. Reitz,Sound,19,37.03372010526316,120216208.10526316
Clayton Townsend,Production,19,22.63350142105263,115051838.4736842
Bill Bernstein,Sound,19,44.19586210526315,201834454.21052632
Richard L. Anderson,Sound,19,42.08126642105263,215007471.31578946
Bill Abbott,Sound,19,51.68025568421052,280376636.6315789
Karen Baker Landers,Sound,19,45.42441805263158,208204506.15789473
Jon Jashni,Production,19,39.32022357894737,167421739.0
Scott Stuber,Production,19,30.099688684210527,103722321.26315789
Nancy Haigh,Art,19,43.67949047368421,184222002.63157895
Ted Field,Production,19,20.70712410526316,78219238.57894737
Dale E. Grahn,Editing,19,45.72185531578947,270810004.4736842
Bob Beemer,Sound,19,47.99074663157894,264979435.89473686
Debbie McWilliams,Production,19,44.30268678947368,300142884.2631579
Ennio Morricone,Sound,19,26.831912263157893,33606740.78947368
Joanna Johnston,Costume & Make-Up,19,53.849843578947365,330842736.31578946
Andy Malcolm,Sound,19,52.34118368421053,114938707.63157895
Rosemary Brandenburg,Art,19,36.47020457894737,283149969.68421054
Dean A. Zupancic,Sound,19,32.145289,133027042.5263158
Dariusz Wolski,Camera,19,73.44301921052632,368497595.57894737
